ts,open,high,low,close,volume
1787335980,4624.23,4624.55,4623.99,4624.54,
1787336040,4624.54,4624.95,4624.01,4624.15,
1787336100,4624.18,4625.51,4624.13,4625.47,
1787336160,4625.47,4625.76,4624.66,4625.37,
1787336220,4625.37,4625.68,4625.1,4625.36,
1787336280,4625.36,4626.32,4625.26,4626.23,
1787336340,4626.13,4626.95,4626.08,4626.7,
1787336400,4626.7,4627.67,4626.43,4626.84,
1787336460,4626.84,4626.84,4625.99,4626.19,
1787336520,4626.19,4626.19,4625.54,4626.13,
1787336580,4626.13,4626.58,4625.98,4626.55,
1787336640,4626.55,4626.55,4625.62,4626.45,
1787336700,4626.45,4627.71,4626.45,4626.95,
1787336760,4626.98,4627.2,4626.06,4626.25,
1787336820,4626.25,4626.34,4625.4,4625.44,
1787336880,4625.44,4625.78,4625.01,4625.05,
1787336940,4625.05,4625.46,4624.51,4625.2,
1787337000,4625.2,4625.23,4621.38,4621.54,
1787337060,4621.56,4621.73,4620.14,4621.53,
1787337120,4621.53,4621.66,4619.85,4620.69,
1787337180,4620.69,4621.58,4620.58,4621.53,
1787337240,4621.54,4622.49,4621.25,4622.18,
1787337300,4622.18,4622.99,4620.96,4621.36,
1787337360,4621.28,4622.88,4621.28,4622.74,
1787337420,4622.74,4623.12,4621.42,4621.98,
1787337480,4621.98,4622.73,4619.61,4619.62,
1787337540,4619.62,4620.14,4619.59,4619.81,
1787337600,4619.81,4621.1,4619.76,4620.44,
1787337660,4620.44,4621.23,4620.28,4620.92,
1787337720,4620.92,4621.04,4620.19,4620.93,
1787337780,4620.94,4621.29,4620.32,4621.27,
1787337840,4621.27,4621.5,4620.19,4620.89,
1787337900,4620.89,4623,4620.84,4622.24,
1787337960,4622.24,4623.15,4622.23,4623.03,
1787338020,4623.03,4623.69,4622.85,4623.24,
1787338080,4623.24,4625.91,4623.04,4624.5,
1787338140,4624.52,4625.12,4624.17,4624.64,
1787338200,4624.64,4625.08,4624.19,4624.54,
1787338260,4624.54,4624.68,4622.94,4622.94,
1787338320,4622.95,4624.25,4622.95,4624.19,
1787338380,4624.19,4624.71,4624.06,4624.64,
1787338440,4624.63,4625.01,4624.62,4624.9,
1787338500,4624.9,4624.9,4623.68,4624.14,
1787338560,4624.14,4624.32,4623.24,4623.99,
1787338620,4623.96,4624.23,4623.62,4624.23,
